"","airport_name","carrier_name","reason","avg_delay"
"1","Aberdeen, SD: Aberdeen Regional","SkyWest Airlines Inc.","Carrier",43.0331733614915
"2","Aberdeen, SD: Aberdeen Regional","SkyWest Airlines Inc.","Late Aircraft",53.6794606145034
"3","Aberdeen, SD: Aberdeen Regional","SkyWest Airlines Inc.","National Air Systems",42.9991349594628
"4","Abilene, TX: Abilene Regional","American Eagle Airlines Inc.","Carrier",59.6914834049036
"5","Abilene, TX: Abilene Regional","American Eagle Airlines Inc.","Late Aircraft",57.3566470059167
"6","Abilene, TX: Abilene Regional","American Eagle Airlines Inc.","National Air Systems",40.856340629762
"7","Abilene, TX: Abilene Regional","American Eagle Airlines Inc.","Weather",51.2588647939928
"8","Abilene, TX: Abilene Regional","Envoy Air","Carrier",42.2352220143877
"9","Abilene, TX: Abilene Regional","Envoy Air","Late Aircraft",56.5212343933203
"10","Abilene, TX: Abilene Regional","Envoy Air","National Air Systems",39.5707542475942
"11","Abilene, TX: Abilene Regional","Envoy Air","Security",33.4515762845519
"12","Abilene, TX: Abilene Regional","Envoy Air","Weather",85.9566797028433
"13","Abilene, TX: Abilene Regional","ExpressJet Airlines Inc.","Carrier",56.9643472509835
"14","Abilene, TX: Abilene Regional","ExpressJet Airlines Inc.","Late Aircraft",49.6500617705117
"15","Abilene, TX: Abilene Regional","ExpressJet Airlines Inc.","National Air Systems",36.8250388927965
"16","Adak Island, AK: Adak","Alaska Airlines Inc.","Carrier",56.8026196928636
"17","Adak Island, AK: Adak","Alaska Airlines Inc.","Late Aircraft",51
"18","Adak Island, AK: Adak","Alaska Airlines Inc.","National Air Systems",31.3333333333333
"19","Adak Island, AK: Adak","Alaska Airlines Inc.","Security",31
"20","Adak Island, AK: Adak","Alaska Airlines Inc.","Weather",60
"21","Aguadilla, PR: Rafael Hernandez","JetBlue Airways","Carrier",46.3903361576603
"22","Aguadilla, PR: Rafael Hernandez","JetBlue Airways","Late Aircraft",64.2275749174516
"23","Aguadilla, PR: Rafael Hernandez","JetBlue Airways","National Air Systems",31.1469986916634
"24","Aguadilla, PR: Rafael Hernandez","JetBlue Airways","Security",97.3262032085562
"25","Aguadilla, PR: Rafael Hernandez","JetBlue Airways","Weather",97.0685743853847
"26","Aguadilla, PR: Rafael Hernandez","United Air Lines Inc.","Carrier",52.2678632858985
